Investigator,Maddy,Time (s),Electrode,Amplitude (mV)
,,00002.788080,B6_14,0.025
,,00002.825200,D4_14,0.024
,,00002.838240,B6_43,0.027
,,00002.844320,B6_33,0.116
,,00002.866400,C2_11,0.128
,,00002.922960,B6_14,0.038
,,00002.943520,B6_14,0.027
,,00002.946640,B6_14,0.033
,,00002.982880,B6_43,0.021
,,00002.990640,B6_33,0.119
,,00003.110480,B6_44,0.073
,,00003.115520,B6_44,0.024
,,00003.144560,B6_14,0.385
,,00003.148160,B6_14,0.027
,,00003.222880,C2_11,0.125
,,00003.264640,B6_33,0.032
,,00003.286240,B6_14,0.035
,,00003.310480,B6_33,0.038
,,00003.313200,B6_34,0.258
,,00003.315760,B6_33,0.03
,,00003.317440,B6_34,0.235
,,00003.318080,B6_33,0.018
,,00003.320480,B6_34,0.03
,,00003.353520,B6_33,0.017
,,00003.368800,D3_32,0.021
,,00003.372640,D3_32,0.014
,,00003.400240,B6_14,0.032
,,00003.402480,B6_14,0.097
,,00003.405200,B6_14,0.01
,,00003.405680,D4_14,0.021
,,00003.408720,D4_14,0.016
,,00003.408880,B6_14,0.032
,,00003.461200,B6_44,0.024
,,00003.485440,B6_44,0.019
,,00003.572080,B6_33,0.088
,,00003.575120,B6_33,0.04
,,00003.606400,C2_11,0.128
,,00003.662080,B6_43,0.024
,,00003.665920,D3_33,0.01
,,00003.666720,B6_33,0.038
,,00003.668320,D3_33,0.01
,,00003.669120,D3_23,0.019
,,00003.679520,B6_33,0.017
,,00003.721440,A2_13,0.013
,,00003.725280,B6_14,0.389
,,00003.728720,B6_14,0.036
,,00003.730960,B6_14,0.01
,,00003.823520,B6_14,0.062
,,00003.849840,B6_43,0.025
,,00003.855600,B6_33,0.034
,,00003.857760,B6_44,0.094
,,00003.859040,B6_33,0.021
,,00003.862480,B6_33,0.018
,,00003.866000,D1_31,0.036
,,00003.869360,D1_21,0.017
,,00003.876480,D1_31,0.036
,,00003.879840,D1_21,0.018
,,00003.882320,B6_44,0.023
,,00003.886080,D1_31,0.031
,,00003.889520,D1_21,0.014
,,00003.900000,D1_31,0.034
,,00003.900640,B1_33,0.025
,,00003.902240,B1_44,0.012
,,00003.903360,D1_21,0.019
,,00003.903600,B1_33,0.056
,,00003.904560,B1_32,0.046
,,00003.906000,B1_33,0.015
,,00003.907040,B1_32,0.026
,,00003.908320,B1_33,0.039
,,00003.909600,B1_32,0.036
,,00003.910960,B1_33,0.07
,,00003.912000,B1_32,0.043
,,00003.914000,B1_33,0.024
,,00003.917120,B1_33,0.021
,,00003.925840,D1_31,0.033
,,00003.944240,D1_31,0.034
,,00003.971600,D1_31,0.03
,,00003.975040,D1_21,0.014
,,00003.988400,B1_33,0.124
,,00003.990240,B1_44,0.022
,,00003.990640,B1_33,0.145
,,00003.991120,B1_34,0.023
,,00003.991760,B1_32,0.051
,,00003.994000,B1_34,0.021
,,00003.994160,B1_32,0.109
,,00003.994320,B1_42,0.039
,,00003.994560,B1_33,0.129
,,00003.996880,B1_33,0.046
,,00003.996960,B1_34,0.015
,,00003.997040,B1_42,0.024
,,00003.998240,B1_32,0.032
,,00003.998800,B1_44,0.014
,,00003.999200,B1_33,0.098
,,00003.999440,B1_42,0.016
,,00004.002000,B1_33,0.102
,,00004.002400,B1_32,0.039
,,00004.002800,C2_11,0.126
,,00004.004880,B1_42,0.013
,,00004.004880,B6_44,0.078
,,00004.005920,D1_31,0.032
,,00004.006000,B1_33,0.04
,,00004.007200,B1_32,0.048
,,00004.007360,B6_44,0.022
,,00004.008160,C3_21,0.015
,,00004.008480,B1_33,0.038
,,00004.009360,D1_21,0.018
,,00004.010000,B1_32,0.063
,,00004.011920,B1_33,0.029
,,00004.012560,B1_32,0.031
,,00004.012880,C3_24,0.057
,,00004.014480,B1_33,0.036
,,00004.015680,B1_32,0.023
,,00004.017360,B1_33,0.037
,,00004.018400,B1_32,0.053
,,00004.018400,C3_24,0.035
,,00004.020240,B1_33,0.039
,,00004.021280,C3_24,0.016
,,00004.021840,C3_21,0.012
,,00004.022000,B1_32,0.006
,,00004.023280,B1_33,0.02
,,00004.023600,C3_24,0.041
,,00004.025120,B1_32,0.015
,,00004.025520,B1_33,0.018
,,00004.026400,C3_24,0.069
,,00004.027360,B1_32,0.014
,,00004.028640,C3_24,0.067
,,00004.030480,B1_32,0.014
,,00004.031840,C3_24,0.066
,,00004.034400,C3_24,0.098
,,00004.035360,B1_32,0.046
,,00004.035680,B6_14,0.043
,,00004.037440,C3_24,0.023
,,00004.037600,B1_32,0.021
,,00004.039520,B1_33,0.079
,,00004.040160,C3_24,0.042
,,00004.040720,B1_32,0.043
,,00004.042160,B1_33,0.121
