Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,00112.378240,B4_43,5,0.03576
,,00112.565760,A6_21,10,0.12056
,,00112.567200,A6_22,10,0.13576
,,00113.163600,A3_13,8,0.0224
,,00113.791360,A6_22,7,0.14792
,,00114.243200,C5_44,21,0.1132
,,00114.624480,A3_13,7,0.01712
,,00114.440480,A6_22,15,0.07848
,,00115.319680,A6_22,10,0.15864
,,00116.162000,A6_21,8,0.02544
,,00116.161600,A6_22,7,0.02112
,,00116.556560,B3_14,7,0.01736
,,00116.484480,B6_14,7,0.02232
,,00116.475760,B6_33,11,0.05344
,,00116.482800,B6_23,5,0.03416
,,00116.480160,B6_34,7,0.02296
,,00116.684640,B3_31,17,0.08936
,,00116.698640,B3_11,5,0.032
,,00116.718160,B3_14,18,0.04848
,,00116.702160,B3_34,17,0.06344
,,00116.683920,B3_32,20,0.08888
,,00116.689360,B3_43,23,0.0712
,,00116.702080,B3_44,6,0.05384
,,00116.687360,B3_42,16,0.04808
,,00116.813440,A6_22,6,0.0308
,,00116.966160,B3_31,14,0.06384
,,00116.866880,B3_11,5,0.09736
,,00116.949120,B3_14,23,0.06416
,,00116.972560,B3_34,11,0.0464
,,00116.963360,B3_32,14,0.0368
,,00116.973600,B3_43,13,0.04032
,,00116.973280,B3_44,9,0.02968
,,00116.966640,B3_42,10,0.03248
,,00117.310240,A2_34,5,0.0904
,,00117.554960,A6_21,11,0.02896
,,00117.557200,A6_22,12,0.07512
,,00117.478720,B4_43,6,0.22256
,,00118.075280,C1_13,5,0.1232
,,00118.353520,B6_33,5,0.02048
,,00118.609920,D1_21,5,0.03336
,,00118.459520,C1_33,5,0.08072
,,00118.594000,A6_21,12,0.05392
,,00118.596160,A6_22,10,0.04152
,,00118.506080,C1_23,16,0.2072
,,00118.602080,B4_34,5,0.10248
,,00118.857040,B6_14,12,0.05176
,,00118.855280,B6_33,18,0.08352
,,00118.858320,B6_23,6,0.04648
,,00118.827920,B6_34,12,0.07472
,,00118.864560,B6_44,9,0.05048
,,00119.337040,A2_21,6,0.0472
,,00119.486160,A6_21,6,0.01528
,,00119.486800,A6_22,5,0.01064
,,00120.080400,A6_21,11,0.02616
,,00120.007360,A6_22,10,0.0988
