Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,00057.548640,A3_32,29,0.10064
,,00057.479680,B6_14,6,0.03152
,,00057.885680,A2_32,6,0.01392
,,00057.553360,A3_21,16,0.09848
,,00057.513520,A3_31,18,0.144
,,00057.503040,A3_11,21,0.1516
,,00057.503200,A3_12,24,0.1512
,,00057.506880,A3_13,55,0.1556
,,00057.510160,A3_22,32,0.14168
,,00057.517840,A3_24,48,0.13992
,,00057.513760,A3_44,52,0.14752
,,00057.504400,A3_43,51,0.1568
,,00057.885680,A2_21,7,0.0188
,,00057.885120,A2_11,5,0.0156
,,00057.857360,A2_33,7,0.04568
,,00057.856880,A2_34,8,0.12928
,,00058.345680,B6_14,6,0.03736
,,00058.820560,A2_21,7,0.02008
,,00058.820000,A2_11,6,0.01616
,,00058.814480,A2_13,7,0.02368
,,00058.822240,A2_33,6,0.0172
,,00058.823920,A2_34,9,0.06384
,,00058.823760,A2_32,5,0.0128
,,00058.728640,A4_22,8,0.12064
,,00058.789360,B4_43,6,0.01408
,,00058.566000,B6_33,5,0.12504
,,00058.737440,A4_12,10,0.35632
,,00058.716800,A4_32,50,0.42712
,,00058.729440,A4_21,12,0.4072
,,00058.721760,A4_41,9,0.41592
,,00059.046560,A5_14,6,0.01744
,,00059.021440,A5_13,10,0.05216
,,00059.012480,A5_21,7,0.03968
,,00059.024880,A6_21,8,0.01864
,,00059.022480,A6_22,7,0.01752
,,00059.250640,A4_21,5,0.08968
,,00059.258240,A4_12,7,0.15672
,,00059.246640,A4_32,37,0.39784
,,00059.247840,A4_41,7,0.26464
,,00060.377360,B6_14,7,0.0316
,,00060.812000,B3_22,9,0.08696
,,00060.975840,C2_11,9,0.14816
,,00060.974240,C2_12,6,0.07624
,,00060.974640,C2_14,18,0.16888
,,00060.983600,C2_34,14,0.16336
,,00060.812880,B3_21,17,0.09584
,,00060.811600,B3_31,24,0.1028
,,00060.815920,B3_11,8,0.08672
